Date,Price,Open,High,Low,Change %
29-Jul-11,6.437,6.441,6.4449,6.436,-0.08%
28-Jul-11,6.4424,6.4415,6.4478,6.4405,-0.02%
27-Jul-11,6.4436,6.44,6.4438,6.4373,0.03%
26-Jul-11,6.4415,6.4435,6.447,6.4365,-0.05%
25-Jul-11,6.4448,6.4455,6.4483,6.4435,-0.04%
22-Jul-11,6.4474,6.45,6.4518,6.444,-0.11%
21-Jul-11,6.4545,6.4565,6.4592,6.4485,-0.07%
20-Jul-11,6.4588,6.462,6.4639,6.4535,-0.07%
19-Jul-11,6.4635,6.4665,6.4697,6.4614,-0.09%
18-Jul-11,6.469,6.462,6.4694,6.462,0.11%
15-Jul-11,6.462,6.4565,6.4652,6.4565,0.03%
14-Jul-11,6.46,6.4665,6.4686,6.4547,-0.12%
13-Jul-11,6.4678,6.4715,6.4733,6.4645,-0.07%
12-Jul-11,6.4723,6.466,6.4752,6.464,0.08%
11-Jul-11,6.4672,6.464,6.4675,6.461,0.04%
8-Jul-11,6.4645,6.4645,6.4672,6.4635,-0.02%
7-Jul-11,6.4657,6.466,6.4689,6.462,-0.04%
6-Jul-11,6.468,6.4673,6.4731,6.462,0.00%
5-Jul-11,6.4681,6.4629,6.4702,6.46,0.08%
4-Jul-11,6.463,6.464,6.4659,6.4598,-0.03%
1-Jul-11,6.465,6.463,6.4688,6.462,0.01%
30-Jun-11,6.4642,6.462,6.4688,6.462,0.01%
29-Jun-11,6.4634,6.4695,6.4715,6.462,-0.09%
28-Jun-11,6.4695,6.476,6.4765,6.467,-0.20%
27-Jun-11,6.4825,6.4725,6.4827,6.472,0.12%
24-Jun-11,6.475,6.467,6.4779,6.466,0.11%
23-Jun-11,6.4678,6.4615,6.4713,6.4615,0.07%
22-Jun-11,6.463,6.4645,6.4688,6.461,-0.03%
21-Jun-11,6.4652,6.47,6.4787,6.464,-0.12%
20-Jun-11,6.473,6.466,6.4773,6.466,0.03%
17-Jun-11,6.471,6.4715,6.4751,6.4645,-0.06%
16-Jun-11,6.4752,6.48,6.4877,6.4745,-0.10%
15-Jun-11,6.4818,6.4785,6.4837,6.4755,0.03%
14-Jun-11,6.4796,6.482,6.483,6.4755,-0.05%
13-Jun-11,6.4829,6.479,6.487,6.479,0.04%
10-Jun-11,6.4803,6.475,6.4826,6.475,0.05%
9-Jun-11,6.477,6.475,6.4815,6.473,0.02%
8-Jun-11,6.4756,6.4795,6.4827,6.4751,-0.10%
7-Jun-11,6.482,6.47,6.4822,6.47,0.04%
6-Jun-11,6.4793,6.4785,6.4793,6.4785,0.00%
3-Jun-11,6.4793,6.482,6.4835,6.4785,-0.06%
2-Jun-11,6.4833,6.477,6.4845,6.477,0.07%
1-Jun-11,6.479,6.4775,6.4813,6.477,-0.01%
31-May-11,6.4795,6.4825,6.4836,6.478,-0.05%
30-May-11,6.4829,6.4895,6.492,6.4824,-0.16%
27-May-11,6.493,6.4905,6.494,6.487,0.04%
26-May-11,6.4905,6.492,6.4935,6.4859,-0.05%
25-May-11,6.494,6.4965,6.4985,6.4919,-0.07%
24-May-11,6.4985,6.5025,6.506,6.4971,-0.10%
23-May-11,6.505,6.491,6.5062,6.491,0.18%
20-May-11,6.493,6.5035,6.5052,6.4912,-0.18%
19-May-11,6.505,6.5025,6.508,6.501,-0.02%
18-May-11,6.506,6.505,6.5079,6.5022,0.00%
17-May-11,6.5059,6.5063,6.5087,6.504,-0.04%
16-May-11,6.5087,6.496,6.5105,6.496,0.16%
13-May-11,6.498,6.4975,6.5018,6.4945,-0.01%
12-May-11,6.4987,6.4926,6.5038,6.4926,0.10%
11-May-11,6.492,6.4905,6.495,6.4904,0.00%
10-May-11,6.4917,6.4937,6.4955,6.4905,-0.04%
9-May-11,6.494,6.492,6.4976,6.492,0.01%
6-May-11,6.4932,6.4931,6.4999,6.492,0.00%
5-May-11,6.4933,6.4905,6.4984,6.4905,0.00%
4-May-11,6.4933,6.4955,6.4998,6.4905,-0.06%
3-May-11,6.497,6.4895,6.5006,6.4895,0.07%
2-May-11,6.4925,6.4895,6.4925,6.4895,0.02%
29-Apr-11,6.491,6.4995,6.5005,6.4745,-0.17%
28-Apr-11,6.5018,6.5095,6.5103,6.477,-0.15%
27-Apr-11,6.5116,6.5225,6.5274,6.487,-0.25%
26-Apr-11,6.5278,6.518,6.5328,6.5202,0.00%
25-Apr-11,6.5278,6.5067,6.529,6.5065,0.32%
22-Apr-11,6.5072,6.52,6.5204,6.5065,0.20%
21-Apr-11,6.494,6.524,6.5274,6.492,-0.48%
20-Apr-11,6.5256,6.5295,6.5298,6.507,-0.08%
