Date,Price,Open,High,Low,Change %
19-Jul-12,1.0073,1.0101,1.0107,1.0062,-0.30%
18-Jul-12,1.0103,1.0116,1.0149,1.0097,-0.16%
17-Jul-12,1.0119,1.0149,1.0169,1.0116,-0.31%
16-Jul-12,1.015,1.0141,1.0173,1.0127,0.05%
13-Jul-12,1.0145,1.0189,1.0203,1.0125,-0.42%
12-Jul-12,1.0188,1.0196,1.0249,1.0173,-0.08%
11-Jul-12,1.0196,1.0224,1.023,1.017,-0.28%
10-Jul-12,1.0225,1.0188,1.0229,1.0163,0.33%
9-Jul-12,1.0191,1.0193,1.0221,1.018,-0.02%
6-Jul-12,1.0193,1.0138,1.0207,1.0137,0.51%
5-Jul-12,1.0141,1.0128,1.0157,1.0096,0.09%
4-Jul-12,1.0132,1.0121,1.0141,1.0116,0.09%
3-Jul-12,1.0123,1.0164,1.0172,1.0117,-0.45%
2-Jul-12,1.0169,1.016,1.0201,1.0153,0.02%
29-Jun-12,1.0167,1.0334,1.0341,1.0161,-1.65%
28-Jun-12,1.0338,1.0248,1.0363,1.0229,0.87%
27-Jun-12,1.0249,1.024,1.0267,1.0233,0.06%
26-Jun-12,1.0243,1.0292,1.0296,1.023,-0.45%
25-Jun-12,1.0289,1.0255,1.0317,1.025,0.44%
22-Jun-12,1.0244,1.0286,1.03,1.0237,-0.46%
21-Jun-12,1.0291,1.0186,1.0297,1.0172,1.06%
20-Jun-12,1.0183,1.0174,1.0231,1.0155,0.02%
19-Jun-12,1.0181,1.0232,1.0243,1.0162,-0.56%
18-Jun-12,1.0238,1.0201,1.0278,1.0189,0.21%
15-Jun-12,1.0217,1.0231,1.0256,1.0211,-0.14%
14-Jun-12,1.0231,1.0292,1.0295,1.0218,-0.66%
13-Jun-12,1.0299,1.0258,1.0303,1.0239,0.39%
12-Jun-12,1.0259,1.0318,1.0325,1.025,-0.57%
11-Jun-12,1.0318,1.0221,1.0319,1.0198,0.53%
8-Jun-12,1.0264,1.0277,1.0354,1.0257,-0.12%
7-Jun-12,1.0276,1.0274,1.0295,1.0206,-0.03%
6-Jun-12,1.0279,1.038,1.0383,1.0267,-0.94%
5-Jun-12,1.0377,1.0393,1.0425,1.0358,-0.19%
4-Jun-12,1.0397,1.0393,1.0446,1.0367,-0.09%
1-Jun-12,1.0406,1.0327,1.0442,1.0318,0.71%
31-May-12,1.0333,1.0299,1.0365,1.0258,0.33%
30-May-12,1.0299,1.0224,1.0311,1.0218,0.75%
29-May-12,1.0222,1.0235,1.027,1.0204,-0.16%
28-May-12,1.0238,1.0269,1.0271,1.022,-0.53%
