Date,Price,Open,High,Low,Change %
21-Jul-11,1.4408,1.4262,1.4438,1.4139,1.03%
20-Jul-11,1.4261,1.417,1.4274,1.4133,0.64%
19-Jul-11,1.417,1.4127,1.4216,1.4069,0.31%
18-Jul-11,1.4126,1.4126,1.4136,1.4014,-0.22%
15-Jul-11,1.4157,1.4162,1.4192,1.4092,-0.04%
14-Jul-11,1.4162,1.4269,1.4269,1.4116,-0.75%
13-Jul-11,1.4269,1.3989,1.4281,1.3962,2.00%
12-Jul-11,1.3989,1.4037,1.4053,1.3837,-0.34%
11-Jul-11,1.4037,1.4211,1.4227,1.3986,-1.58%
8-Jul-11,1.4263,1.436,1.4368,1.4206,-0.68%
7-Jul-11,1.436,1.4333,1.4373,1.4221,0.19%
6-Jul-11,1.4333,1.4433,1.4466,1.4286,-0.69%
5-Jul-11,1.4432,1.4541,1.4541,1.4402,-0.75%
4-Jul-11,1.4541,1.4563,1.4567,1.4495,0.11%
1-Jul-11,1.4525,1.4474,1.455,1.4436,0.35%
30-Jun-11,1.4474,1.4463,1.4536,1.4447,0.08%
29-Jun-11,1.4463,1.4357,1.448,1.4338,0.74%
28-Jun-11,1.4357,1.4311,1.4396,1.4237,0.32%
27-Jun-11,1.4311,1.4154,1.4327,1.4102,0.88%
24-Jun-11,1.4186,1.426,1.4306,1.4142,-0.52%
23-Jun-11,1.426,1.433,1.4332,1.4126,-0.49%
22-Jun-11,1.433,1.4376,1.4441,1.431,-0.32%
21-Jun-11,1.4376,1.4361,1.4431,1.4307,0.10%
20-Jun-11,1.4361,1.4256,1.4382,1.4191,0.52%
17-Jun-11,1.4286,1.4201,1.4338,1.4127,0.60%
16-Jun-11,1.4201,1.4191,1.4221,1.4073,0.07%
15-Jun-11,1.4191,1.4432,1.4438,1.4156,-1.67%
14-Jun-11,1.4432,1.4416,1.4497,1.4379,0.11%
13-Jun-11,1.4416,1.4335,1.443,1.4322,0.49%
10-Jun-11,1.4346,1.4537,1.455,1.4322,-1.31%
9-Jun-11,1.4537,1.4592,1.4646,1.4478,-0.38%
8-Jun-11,1.4592,1.468,1.4689,1.4564,-0.59%
7-Jun-11,1.4679,1.459,1.4695,1.4563,0.61%
6-Jun-11,1.459,1.4651,1.4657,1.4557,-0.29%
3-Jun-11,1.4633,1.4486,1.4642,1.4452,1.01%
2-Jun-11,1.4486,1.4346,1.4512,1.4325,0.98%
1-Jun-11,1.4346,1.4424,1.4458,1.4308,-0.54%
31-May-11,1.4424,1.4333,1.4436,1.4326,0.63%
30-May-11,1.4333,1.4288,1.4351,1.4257,0.11%
27-May-11,1.4317,1.4144,1.4322,1.4129,1.22%
26-May-11,1.4144,1.4069,1.4206,1.4067,0.54%
25-May-11,1.4068,1.4092,1.4118,1.4013,-0.17%
24-May-11,1.4092,1.4012,1.4133,1.4012,0.57%
23-May-11,1.4012,1.4107,1.4135,1.3969,-1.02%
20-May-11,1.4157,1.4322,1.4345,1.4132,-1.17%
19-May-11,1.4325,1.4258,1.4337,1.4206,0.47%
18-May-11,1.4258,1.4262,1.4286,1.4195,-0.06%
17-May-11,1.4266,1.4145,1.4276,1.412,0.86%
16-May-11,1.4145,1.4067,1.4244,1.4048,0.20%
13-May-11,1.4117,1.4229,1.4339,1.4067,-0.79%
12-May-11,1.4229,1.4206,1.4276,1.4123,0.17%
11-May-11,1.4205,1.4399,1.4422,1.4172,-1.35%
10-May-11,1.4399,1.4368,1.4418,1.427,0.22%
9-May-11,1.4368,1.4388,1.4441,1.4255,0.37%
6-May-11,1.4315,1.4558,1.4587,1.4312,-1.67%
5-May-11,1.4558,1.4826,1.4899,1.451,-1.81%
4-May-11,1.4827,1.4836,1.4938,1.4775,-0.06%
3-May-11,1.4836,1.4794,1.4888,1.4754,0.28%
2-May-11,1.4794,1.4815,1.4901,1.4763,-0.08%
29-Apr-11,1.4806,1.484,1.4877,1.4803,-0.23%
28-Apr-11,1.484,1.4787,1.4881,1.4772,0.35%
27-Apr-11,1.4788,1.4704,1.4795,1.4632,0.57%
26-Apr-11,1.4704,1.4551,1.4712,1.4493,1.06%
25-Apr-11,1.455,1.4587,1.4626,1.4525,-0.07%
22-Apr-11,1.456,1.4558,1.4587,1.4534,0.01%
21-Apr-11,1.4559,1.4519,1.4648,1.4515,0.28%
20-Apr-11,1.4518,1.4365,1.4544,1.4355,1.07%
19-Apr-11,1.4365,1.4236,1.4373,1.4205,0.91%
18-Apr-11,1.4236,1.4396,1.4404,1.4157,-1.33%
15-Apr-11,1.4428,1.45,1.4502,1.439,-0.50%
14-Apr-11,1.45,1.4451,1.4514,1.4365,0.33%
13-Apr-11,1.4452,1.4482,1.4519,1.4413,-0.21%
12-Apr-11,1.4482,1.4423,1.4518,1.4377,0.41%
11-Apr-11,1.4423,1.448,1.4481,1.4421,-0.41%
8-Apr-11,1.4482,1.4297,1.4487,1.4291,1.29%
7-Apr-11,1.4297,1.4324,1.4325,1.4242,-0.19%
6-Apr-11,1.4324,1.4231,1.4348,1.4228,0.65%
5-Apr-11,1.4231,1.4204,1.4244,1.4151,0.18%
4-Apr-11,1.4205,1.4234,1.4268,1.4192,-0.20%
1-Apr-11,1.4234,1.4156,1.4245,1.4061,0.55%
31-Mar-11,1.4156,1.4127,1.4232,1.4116,0.21%
30-Mar-11,1.4127,1.411,1.4146,1.4052,0.12%
29-Mar-11,1.411,1.4076,1.4148,1.4047,0.24%
28-Mar-11,1.4076,1.4023,1.4115,1.4022,-0.08%
25-Mar-11,1.4087,1.4169,1.4193,1.4055,-0.58%
24-Mar-11,1.4169,1.4104,1.4219,1.4053,0.46%
23-Mar-11,1.4104,1.4168,1.4214,1.4077,-0.45%
22-Mar-11,1.4168,1.4213,1.4248,1.4162,-0.32%
21-Mar-11,1.4213,1.4168,1.424,1.4141,0.24%
18-Mar-11,1.4179,1.403,1.4183,1.398,1.06%
17-Mar-11,1.403,1.3883,1.4052,1.3876,1.05%
16-Mar-11,1.3884,1.3985,1.4,1.3866,-0.72%
15-Mar-11,1.3985,1.399,1.4012,1.3855,-0.04%
14-Mar-11,1.399,1.3934,1.4003,1.3904,0.63%
11-Mar-11,1.3902,1.38,1.3915,1.3752,0.74%
10-Mar-11,1.38,1.3902,1.3924,1.3775,-0.73%
9-Mar-11,1.3902,1.3895,1.3941,1.3855,0.05%
8-Mar-11,1.3895,1.3962,1.3988,1.3862,-0.48%
7-Mar-11,1.3962,1.399,1.4035,1.3955,-0.17%
4-Mar-11,1.3986,1.3955,1.4005,1.3942,0.22%
3-Mar-11,1.3955,1.3865,1.3973,1.3833,0.65%
2-Mar-11,1.3865,1.3768,1.389,1.3745,0.70%
1-Mar-11,1.3768,1.382,1.3853,1.3763,-0.38%
28-Feb-11,1.382,1.3733,1.3855,1.3711,0.49%
25-Feb-11,1.3752,1.3819,1.3837,1.3724,-0.48%
24-Feb-11,1.3819,1.376,1.3823,1.3704,0.43%
23-Feb-11,1.376,1.3672,1.3786,1.3672,0.64%
22-Feb-11,1.3672,1.368,1.3703,1.3528,-0.06%
21-Feb-11,1.368,1.3712,1.3712,1.3647,-0.09%
18-Feb-11,1.3692,1.3622,1.3714,1.3545,0.51%
17-Feb-11,1.3622,1.3573,1.3626,1.3537,0.36%
16-Feb-11,1.3573,1.3497,1.3587,1.3462,0.56%
15-Feb-11,1.3497,1.3478,1.355,1.3461,0.14%
14-Feb-11,1.3478,1.3511,1.3558,1.3428,-0.54%
11-Feb-11,1.3551,1.3603,1.362,1.3497,-0.38%
10-Feb-11,1.3603,1.3719,1.3727,1.3577,-0.85%
9-Feb-11,1.3719,1.3625,1.3742,1.3611,0.69%
8-Feb-11,1.3625,1.3591,1.3687,1.3572,0.25%
7-Feb-11,1.3591,1.3573,1.3626,1.3508,0.08%
4-Feb-11,1.358,1.3623,1.3675,1.3544,-0.32%
3-Feb-11,1.3623,1.3816,1.3825,1.3609,-1.40%
2-Feb-11,1.3816,1.3827,1.3861,1.3767,-0.09%
1-Feb-11,1.3828,1.3712,1.3842,1.3701,0.85%
31-Jan-11,1.3712,1.3572,1.3738,1.357,0.75%
28-Jan-11,1.361,1.3722,1.3745,1.3583,-0.82%
27-Jan-11,1.3722,1.3709,1.3757,1.3637,0.09%
26-Jan-11,1.3709,1.3685,1.3721,1.3642,0.18%
25-Jan-11,1.3685,1.3642,1.3702,1.3573,0.32%
24-Jan-11,1.3642,1.3618,1.3685,1.354,0.16%
21-Jan-11,1.362,1.3465,1.3624,1.3448,1.15%
20-Jan-11,1.3465,1.3451,1.3522,1.3396,0.10%
19-Jan-11,1.3451,1.3377,1.3537,1.3376,0.55%
18-Jan-11,1.3377,1.3281,1.3464,1.3253,0.72%
17-Jan-11,1.3281,1.3378,1.3379,1.3245,-0.80%
14-Jan-11,1.3388,1.3351,1.3456,1.3314,0.28%
13-Jan-11,1.335,1.3126,1.3383,1.3089,1.70%
12-Jan-11,1.3127,1.2982,1.3144,1.2962,1.12%
11-Jan-11,1.2982,1.2964,1.2992,1.2905,0.14%
10-Jan-11,1.2964,1.2895,1.2966,1.2874,0.45%
7-Jan-11,1.2906,1.298,1.3021,1.2904,-0.56%
6-Jan-11,1.2979,1.3156,1.317,1.2968,-1.35%
